EPISODE 210: TOTAL REWARD: -344424.0, AVGWAITTIME: 85.25009875875087 
EPISODE 211: TOTAL REWARD: -344301.0, AVGWAITTIME: 86.3496336086344 
EPISODE 212: TOTAL REWARD: -344310.0, AVGWAITTIME: 86.36222635380531 
EPISODE 213: TOTAL REWARD: -344213.0, AVGWAITTIME: 86.4337926880826 
EPISODE 214: TOTAL REWARD: -344689.0, AVGWAITTIME: 86.09526700586575 
EPISODE 215: TOTAL REWARD: -343706.0, AVGWAITTIME: 84.72586869207299 
EPISODE 216: TOTAL REWARD: -344369.0, AVGWAITTIME: 86.18335647412547 
EPISODE 217: TOTAL REWARD: -344734.0, AVGWAITTIME: 87.09568388137254 
EPISODE 218: TOTAL REWARD: -344050.0, AVGWAITTIME: 84.12089689995567 
EPISODE 219: TOTAL REWARD: -344167.0, AVGWAITTIME: 84.78983385182431 
EPISODE 220: TOTAL REWARD: -344764.0, AVGWAITTIME: 85.94357608275537 
EPISODE 221: TOTAL REWARD: -344367.0, AVGWAITTIME: 86.42187705167709 
EPISODE 222: TOTAL REWARD: -344476.0, AVGWAITTIME: 85.15334520455087 
EPISODE 223: TOTAL REWARD: -344343.0, AVGWAITTIME: 87.68189196233102 
EPISODE 224: TOTAL REWARD: -344311.0, AVGWAITTIME: 83.73840765129066 
EPISODE 225: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.48476735757559 
EPISODE 226: TOTAL REWARD: -343763.0, AVGWAITTIME: 87.03724043737658 
EPISODE 227: TOTAL REWARD: -344620.0, AVGWAITTIME: 84.62925513086988 
EPISODE 228: TOTAL REWARD: -344284.0, AVGWAITTIME: 85.31480595787015 
EPISODE 229: TOTAL REWARD: -343980.0, AVGWAITTIME: 83.1183633581851 
EPISODE 230: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.12468566106489 
EPISODE 231: TOTAL REWARD: -343949.0, AVGWAITTIME: 84.79930882519325 
EPISODE 232: TOTAL REWARD: -343887.0, AVGWAITTIME: 85.79258512510575 
EPISODE 233: TOTAL REWARD: -343917.0, AVGWAITTIME: 84.11244115860853 
EPISODE 234: TOTAL REWARD: -343935.0, AVGWAITTIME: 86.24769351402902 
EPISODE 235: TOTAL REWARD: -344656.0, AVGWAITTIME: 83.93402466853168 
